FORMATTED_ID,FORMATTED_BATCH_ID,BARCODE,WELL_REF,CAS_NO,CID,SMILES,STRUCTURE_NAME,SUPPLIER,SUPPLIER_REF
CBP-0016667,CBP-0016667-01,A049,A01,620-30-4,3125,CC(N)(Cc1ccc(cc1)O)C(=O)O,Racemetirosine,Lopac_Sigma,40544_LOPAC_Sigma_120693
CBP-0016683,CBP-0016683-01,A049,A02,93208-38-9,564,NCCCCCC(=O)O,6-aminohexanoic acid,Lopac_Sigma,40560_LOPAC_Sigma_A 7824
CBP-0016699,CBP-0016699-01,A049,A03,20315-68-8,1868,COc1ccc2[nH]c3c(c2c1)CCNC3,20315-68-8,Lopac_Sigma,40576_LOPAC_Sigma_291552
CBP-0016714,CBP-0016714-01,A049,A04,645-05-6,2123,CN(C)c1nc(nc(n1)N(C)C)N(C)C,altretamine,Lopac_Sigma,40592_LOPAC_Sigma_A 8723
CBP-0016730,CBP-0016730-01,A049,A05,27595-75-1,178,CC(=O)N,acetamide,Lopac_Sigma,40608_LOPAC_Sigma_A 0500
CBP-0016745,CBP-0016745-01,A049,A06,85187-54-8,6076,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,cAMP,Lopac_Sigma,40624_LOPAC_Sigma_A 9501
CBP-0016761,CBP-0016761-01,A049,A07,744952-70-3,2130,NC12CC3CC(CC(C3)C2)C1,amantadine,Lopac_Sigma,40640_LOPAC_Sigma_A 1260
CBP-0016777,CBP-0016777-01,A049,A08,1121-91-1,1534,CC1CCN=C(N)S1,"2-amino-5,6-dihydro-6-methyl-4h-1,3-thiazine",Lopac_Sigma,40656_LOPAC_Sigma_A 9834
CBP-0016792,CBP-0016792-01,A049,A09,3131-86-0,119,NCCCC(=O)O,4-aminobutyric acid,Lopac_Sigma,40672_LOPAC_Sigma_A 2129
CBP-0016806,CBP-0016806-01,A049,A10, ,11957446,CNC(=O)[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(ncnc12)N,5'-N-Methyl carboxamidoadenosine,Lopac_Sigma,40688_LOPAC_Sigma_A-024
CBP-0016821,CBP-0016821-01,A049,A11,87980-11-8,3445,NC1CC(=CC=C1)C(=O)O,DL-Gabaculine,Lopac_Sigma,40704_LOPAC_Sigma_A 3539
CBP-0016837,CBP-0016837-01,A049,A12,149981-25-9,1365,CN1C(=O)N(CC=C)C(=O)c2c1nc(n2C)-c1ccc(cc1)S(=O)(=O)O,"1-Allyl-3,7-dimethyl-8-sulfophenylxanthine",Lopac_Sigma,40720_LOPAC_Sigma_A-145
CBP-0016851,CBP-0016851-01,A049,A13,645-88-5,286,NOCC(=O)O,Aminooxyacetic acid,Lopac_Sigma,40736_LOPAC_Sigma_A 4508
CBP-0016866,CBP-0016866-01,A049,A14,8054-32-8,1989,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,acetohexamide,Lopac_Sigma,40752_LOPAC_Sigma_A-178
CBP-0016882,CBP-0016882-01,A049,A15,85797-13-3,3122,NC(CCCCCP(=O)(O)O)C(=O)O,2-Amino-7-phosphonoheptanoic acid,Lopac_Sigma,40768_LOPAC_Sigma_A 5157
CBP-0016897,CBP-0016897-01,A049,A16,121050-04-2,2733517,OC(=O)[C@@H]1C[C@@H](N1)C(=O)O,"cis-Azetidine-2,4-dicarboxylic acid",Lopac_Sigma,40784_LOPAC_Sigma_A-243
CBP-0016913,CBP-0016913-01,A049,A17,32795-44-1,4342,CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C,N-Acetylprocainamide,Lopac_Sigma,40800_LOPAC_Sigma_A 5909
CBP-0016929,CBP-0016929-01,A049,A18,110828-81-4,6409633,CC(=O)/C(=N/O)C,"2,3-butanedione monoxime",Lopac_Sigma,40816_LOPAC_Sigma_B 0753
CBP-0016944,CBP-0016944-01,A049,A19,13434-13-4,443600,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO,actinonin,Lopac_Sigma,40832_LOPAC_Sigma_A 6671
CBP-0016958,CBP-0016958-01,A049,A20,74209-34-0,1649,[O-][N+](=O)c1cccc2c(n[nH]c12)Br,3-Bromo-7-nitro-1H-indazole,Lopac_Sigma,40848_LOPAC_Sigma_B 2050
CBP-0016974,CBP-0016974-01,A049,A21,616-91-1,12035,CC(=O)N[C@@H](CS)C(=O)O,Acetylcysteine,Lopac_Sigma,40864_LOPAC_Sigma_A 7250
CBP-0016990,CBP-0016990-01,A049,A22,28395-03-1,2471,CCCCNc1cc(cc(c1Oc1ccccc1)S(=O)(=O)N)C(=O)O,bumetanide,Lopac_Sigma,40880_LOPAC_Sigma_B 3023
CBP-0016668,CBP-0016668-01,A049,B01,62594-36-9,2284,NCC(CC(=O)O)c1ccc(cc1)Cl,baclofen,Lopac_Sigma,40545_LOPAC_Sigma_B 5399
CBP-0016684,CBP-0016684-01,A049,B02,27726-35-8,194216,CC1=C(N2[C@H](SC1)[C@H](NC(=O)C(N)c1ccccc1)C2=O)C(=O)O,27726-35-8,Lopac_Sigma,40561_LOPAC_Sigma_C 4895
CBP-0016700,CBP-0016700-01,A049,B03, ,11957469,C[C@H]1CCC/C=C/C2C[C@H](O)C[C@@]2(O)C/C=C/C(=O)O1,Brefeldin A from Penicillium brefeldianum,Lopac_Sigma,40577_LOPAC_Sigma_B 7651
