"","ID","SMILES"
"1","Prestw-1","c12/N=C(\NC(c1nn[nH]2)=O)/N"
"3","Prestw-2","N1C(NC(C1=O)NC(=O)N)=O"
"6","Prestw-3","c1(S(=O)(=O)N)sc(nn1)NC(=O)C"
"17","Prestw-4","C(NC(=N)N)(=N)N(C)C"
"22","Prestw-5","[N+]1(C(c2c(cc(c(c2)OC)OC)CC1)Cc1cc(c(cc1)OC)OC)(CCC(=O)OCCCCCOC(CC[N+]1(C(c2c(cc(c(c2)OC)OC)CC1)Cc1cc(c(cc1)OC)OC)C)=O)C"
"31","Prestw-6","[C@]12([C@@](C(COC(=O)C)=O)(CC[C@]1([C@]1([C@@]([C@@]\3(\C(=C/C(\C=C3)=O)\CC1)C)([C@H](C2)O)F)[H])[H])O)C"
"33","Prestw-7","c1(nc(c(nc1N)N)Cl)C(NC(=N)N)=O"
"46","Prestw-8","[n+]1(Cc2c(nc(nc2)CCC)N)c(C)cccc1"
"48","Prestw-9","S1(c2cc(S(=O)(=O)N)c(cc2NCN1)Cl)(=O)=O"
"55","Prestw-10","S(NC(=N)N)(c1ccc(N)cc1)(=O)=O"
"61","Prestw-11","S1(c2cc(S(=O)(=O)N)c(cc2CCC1)C)(=O)=O"
"63","Prestw-12","c1c(ccc(c1)C(OCCOC)=O)NCCCC"
"73","Prestw-13","S1(c2cc(S(=O)(=O)N)c(C(F)(F)F)cc2NCN1)(=O)=O"
"79","Prestw-14","S(N(C(=O)C)[Na])(c1ccc(N)cc1)(=O)=O"
"82","Prestw-15","C(O)(CCCC(N)C)(C)C"
"85","Prestw-16","S(Nc1nccs1)(c1ccc(N)cc1)(=O)=O"
"88","Prestw-17","C([C@H](Cc1cc(c(cc1)O)O)N)(=O)O"
"92","Prestw-18","N/1(C(NC(/C(=C1)/I)=O)=O)[C@@H]1O[C@@H]([C@H](C1)O)CO"
"96","Prestw-19","N1(C([C@@H](CS)C)=O)[C@H](C(=O)O)CCC1"
"106","Prestw-20","N=1/C(N(/C(=C\C1\N1CCCCC1)/N)O)=N"
"109","Prestw-21","S(Nc1n(ncc1)c1ccccc1)(c1ccc(N)cc1)(=O)=O"
"111","Prestw-22","C([C@@H](C(CO)(C)C)O)(=O)NCCCO"
"113","Prestw-23","S(Nc1ncccn1)(c1ccc(N)cc1)(=O)=O"
"119","Prestw-24","C=1\2/[C@@]3([C@]([C@]4([C@@]([C@](C#C)(CC4)O)(CC3)C)[H])(CC\C1\CC(=O)CC2)[H])[H]"
"129","Prestw-25","S(c1ccc([C@H]([C@H](NC(C(Cl)Cl)=O)CO)O)cc1)(=O)(=O)C"
"131","Prestw-26","c1(nc[nH]c1C)CSCC/N=C(\NC#N)/NC"
"137","Prestw-27","C(c1ncccc1)(c1ccccc1)(OCCN(C)C)C"
"142","Prestw-28","N([C@@H](CO)CC)CCN[C@@H](CO)CC"
"152","Prestw-29","C\1(N(N(\C(=C1)\C)C)c1ccccc1)=O"
"156","Prestw-30","C1(\C(=C(/N(N1c1ccccc1)C)\C)\O)=O"
"158","Prestw-31","[N+](c1ccc([C@H]([C@H](NC(C(Cl)Cl)=O)CO)O)cc1)([O-])=O"
"162","Prestw-32","n1(c2nc(cc(n2)C)OC)c(cc(n1)C)OC"
"165","Prestw-33","c12c(C(N(C(N1C)=O)C)=O)n(cn2)CC(O)CO"
"172","Prestw-34","c12c(nc(c(n1)N)c1ccccc1)c(nc(n2)N)N"
"176","Prestw-35","S(c1ccc(N)cc1)(c1ccc(N)cc1)(=O)=O"
"185","Prestw-36","[C@@]12(C([C@@H]([C@H]([C@H]([C@H](OC([C@@H]([C@H]([C@@H]([C@@H](O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)OC(=O)C)[C@H](C1)C)C)O[C@@H]1O[C@H]([C@@H]([C@H](C1)OC)OC(=O)C)C)C)=O)C)C)OC(=O)C)C)=O)OC2"
"192","Prestw-37","n1c(c(c(nc1N)CC)c1ccc(cc1)Cl)N"
"197","Prestw-38","[N+](CCCCCC[N+](C)(C)C)(C)(C)C"
"204","Prestw-39","c1(cc(c2c(cc(cc2)F)F)ccc1O)C(=O)O"
"220","Prestw-40","[N+](c1cc(c(NC(c2c(ccc(c2)Cl)O)=O)cc1)Cl)([O-])=O"
"223","Prestw-41","C(c1ccc(N)cc1)(=O)OCCN(CC)CC"
"228","Prestw-42","c1(cc(c(cc1OCCN(C)C)C)OC(=O)C)C(C)C"
"230","Prestw-43","n1[nH]ccc1CCN"
"232","Prestw-44","S1(N(/C(=C(\c2c1cccc2)/O)/C(Nc1noc(c1)C)=O)C)(=O)=O"
"235","Prestw-45","c1(cc2c(cc(cc2)OC)cc1)C(C(=O)O)C"
"242","Prestw-46","C/1(=N/CCN1)\Cc1c2c(ccc1)cccc2"
"257","Prestw-47","c12c(scc1)CCN(C2)Cc1c(Cl)cccc1"
"264","Prestw-48","C1(C(=O)OCCN(CC)CC)(C2CCCCC2)CCCCC1"
"277","Prestw-49","C(OC(CN(C)C)(CC)C)(=O)c1ccccc1"
"279","Prestw-50","c1(NC(=O)CN(CC)CC)c(cccc1C)C"
"282","Prestw-1795","CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(C(C1O)O)CC1C(C(C(C)O)C)O1"
"283","Prestw-52","N1(C(=O)N)c2c(\C=C/c3c1cccc3)cccc2"
"294","Prestw-53","N1(c2c(Sc3c1cccc3)ccc(C(F)(F)F)c2)CCCN(C)C"
"302","Prestw-54","c1(c(Nc2c(c(ccc2)C)C)cccc1)C(=O)O"
"313","Prestw-55","S(NC(NC1CCCCC1)=O)(c1ccc(C(=O)C)cc1)(=O)=O"
"323","Prestw-56","S(c1cc(C(NCC2N(CCC2)CC)=O)c(cc1)OC)(=O)(=O)N"
"333","Prestw-57","C(c1cc(c(cc1)N)OCCCC)(=O)OCCN(CC)CC"
"335","Prestw-58","C(N(C(Cc1ccccc1)(C)C)C)(CN(CC(N(C(Cc1ccccc1)(C)C)C)=O)CCO)=O"
"337","Prestw-59","C(CCN(C)C)(c1ncccc1)c1ccccc1"
"350","Prestw-60","C/1(=N/CCN1)\Cc1ccccc1"
"354","Prestw-61","C=1(/N(CCC\N1)C)\C=C\c1c(ccs1)C"
"357","Prestw-62","N1([C@]2(C[C@H](OC(C(c3ccccc3)O)=O)C[C@@]1(CC2)[H])[H])C"
"368","Prestw-63","C=1(\C(\C(=C(/N/C1/C)\C)\C(=O)OC)c1c([N+]([O-])=O)cccc1)/C(=O)OC"
"374","Prestw-64","N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN(C)C"
"383","Prestw-65","C(c1ccccc1)(c1ccccc1)OCCN(C)C"
"396","Prestw-66","n1nc(cc(c1NCCN1CCOCC1)C)c1ccccc1"
"400","Prestw-67","c1(c(cc(cc1)Cl)Cl)C(Cn1cncc1)OCc1c(cc(cc1)Cl)Cl"
"408","Prestw-68","N(C(C(c1ccc(cc1)O)O)C)C(COc1ccccc1)C"
"413","Prestw-69","c1(c(OCC(CNC(C)C)O)ccc(NC(=O)CCC)c1)C(=O)C"
"423","Prestw-70","C(N(c1cc(ccc1)C)C)(Oc1cc2c(cc1)cccc2)=S"
"425","Prestw-71","c1(nncc2c1cccc2)NNC(=O)OCC"
"427","Prestw-72","N1(c2c(CCc3c1cccc3)cccc2)CCCN(C)C"
"439","Prestw-73","C/1(\C(=C(/c2c1ccc(c2)F)\CC(=O)O)\C)=C/c1ccc(S(=O)C)cc1"
