Name	SMILES
[sar9,met(o2)11]-substance-p	CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O
A-1070722	COc1ccc2c(NC(=O)Nc3cccc(n3)C(F)(F)F)ccnc2c1
A-1120	OC(=O)c1ccccc1NC(=O)N1CCC(CC1)c1ccccc1C(F)(F)F
A-317491	OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12, OC(=O)c1cc(C(O)=O)c(cc1C(O)=O)C(=O)N(Cc1cccc(Oc2ccccc2)c1)[C@H]1CCCc2ccccc12
A-33903	CC(=O)NC1C(=O)Nc2ccccc2C(=N1)c1ccccc1
A-366	COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1, COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1, COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1, COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1, COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1
A-412997	Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1
A-438079	Clc1cccc(-c2nnnn2Cc2cccnc2)c1Cl
A-582941	CN1C[C@H]2CN(C[C@H]2C1)c1ccc(nn1)-c1ccccc1
A-61603	CS(=O)(=O)Nc1c(O)ccc2C(CCCc12)=C1NCCN1
A-674563	Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccccc2)c1
A-7	NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12, NCCCCCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
A-769662	Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12, Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12
A-784168	FC(F)(F)c1cccnc1N1CCC(=CC1)C(=O)Nc1ccc(cc1)S(=O)(=O)C(F)(F)F
A-803467	COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1, COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1
A-804598	C[C@H](\N=C(\NC#N)Nc1cccc2ncccc12)c1ccccc1
A-839977	Clc1cccc(c1Cl)-n1nnnc1NCc1ccccc1Oc1ccccn1
A-867744	CCC(=O)c1cc(-c2ccc(Cl)cc2)n(c1C)-c1ccc(cc1)S(N)(=O)=O
A-887826	CCCCOc1ccc(cc1Cl)-c1cncc(c1)C(=O)NCc1cccnc1N1CCOCC1
A-922500	OC(=O)[C@@H]1CCC[C@H]1C(=O)c1ccc(cc1)-c1ccc(NC(=O)Nc2ccccc2)cc1
A-939572	CNC(=O)c1cccc(NC(=O)N2CCC(CC2)Oc2ccccc2Cl)c1
A-967079	CCC(=N/O)\C(C)=C\c1ccc(F)cc1
A-987306	Nc1nc(N2CCNCC2)c2CCC3=C([C@@H]4CCCC[C@@H]4O3)c2n1
AA-29504	CCOC(=O)Nc1ccc(NCc2c(C)cc(C)cc2C)cc1N
abacavir	Nc1nc(NC2CC2)c2ncn([C@@H]3C[C@H](CO)C=C3)c2n1, Nc1nc(NC2CC2)c2ncn([C@@H]3C[C@H](CO)C=C3)c2n1, Nc1nc(NC2CC2)c2ncn([C@@H]3C[C@H](CO)C=C3)c2n1
abafungin	Cc1ccc(Oc2ccccc2-c2csc(N=C3NCCCN3)n2)c(C)c1
abamectin	CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](OC4C[C@H](OC)C(O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C\C=C4/CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C
abametapir	Cc1ccc(nc1)-c1ccc(C)cn1
ABC-294640	Clc1ccc(cc1)C12CC3CC(CC(C3)(C1)C(=O)NCc1ccncc1)C2, Clc1ccc(cc1)C12CC3CC(CC(C3)(C1)C(=O)NCc1ccncc1)C2
abemaciclib	CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)-c3cc(F)c4nc(C)n(C(C)C)c4c3)nc2)CC1
abiraterone	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c1cccnc1
abiraterone-acetate	CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1, CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1
ABT-202	NC1CCN(C1)c1cccnc1
ABT-239	C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N
ABT-491	CN(C)C(=O)n1cc(C(=O)c2ccc(Cn3c(C)nc4cnccc34)c(F)c2)c2c(cccc12)C#C
ABT-639	Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F
ABT-702	Nc1ncnc2nc(cc(-c3cccc(Br)c3)c12)-c1ccc(nc1)N1CCOCC1, Nc1ncnc2nc(cc(-c3cccc(Br)c3)c12)-c1ccc(nc1)N1CCOCC1
ABT-724	C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1
ABT-737	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1, CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
ABT-751	COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1, COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1, COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1
AC-186	Oc1ccc(cc1)C1(CCC(F)(F)CC1)c1ccccc1F
AC-261066	CCCCOCCOc1nc(sc1C)-c1ccc(C(O)=O)c(F)c1
AC-264613	C\C(=N/NC(=O)[C@H]1[C@@H](CNC1=O)c1ccccc1)c1cccc(Br)c1, C\C(=N/NC(=O)[C@H]1[C@@H](CNC1=O)c1ccccc1)c1cccc(Br)c1
AC-55541	C\C(=N/NC(=O)C(NC(=O)c1ccccc1)c1n[nH]c(=O)c2ccccc12)c1cccc(Br)c1
AC-55649	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O, CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
AC-710	CCN1C(C)(C)CC(CC1(C)C)Oc1ccc(nc1)C(=O)Nc1ccc(NC(=O)Nc2cc(on2)C(C)(C)C)cc1
AC-7954-(+/-)	CN(C)CCC1(Cc2ccccc2C(=O)O1)c1ccc(Cl)cc1, CN(C)CCC1(Cc2ccccc2C(=O)O1)c1ccc(Cl)cc1
acadesine	NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N, NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N, NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
acalabrutinib	CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(cc2)C(=O)Nc2ccccn2)c2c(N)nccn12
acalisib	C[C@H](Nc1ncnc2[nH]cnc12)c1nc2ccc(F)cc2c(=O)n1-c1ccccc1
acamprosate	CC(=O)NCCCS(O)(=O)=O, CC(=O)NCCCS(O)(=O)=O
acarbose	C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O, C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O, C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O, C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
ACDPP	CN(C)c1nc(N)c(nc1Cl)C(=O)Nc1cccnc1
acebutolol	CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O, CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
acecainide	CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
aceclidine	CC(=O)OC1CN2CCC1CC2, CC(=O)OC1CN2CCC1CC2, CC(=O)OC1CN2CCC1CC2
aceclofenac	OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
acedapsone	CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(NC(C)=O)cc1
acedoben	CC(=O)Nc1ccc(cc1)C(O)=O
acefylline	Cn1c2ncn(CC(O)=O)c2c(=O)n(C)c1=O
aceglutamide	CC(=O)N[C@@H](CCC(N)=O)C(O)=O
acemetacin	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1, COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1
aceneuramic-acid	CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
acenocoumarol	CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O
acepromazine	CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O
