"","V1","V2"
"1","BrC(Br)(Br)C(=O)Cl","431656"
"2","BrC(CBr)C(=O)Cl","300373"
"3","BrC(CCBr)C(=O)Cl","34072"
"4","BrC(C)C(=O)Cl","145807"
"5","BrC(c1ccccc1)C(=O)Cl","690864"
"6","BrCC(=O)Cl","16120"
"7","BrCCC(=O)Cl","142514"
"8","BrCCCC(=O)Cl","251933"
"9","BrCCCCC(=O)Cl","331317"
"10","BrCCCCCC(=O)Cl","235555"
"11","Brc1c(cccc1)C(=O)Cl","B59179"
"12","Brc1c(cccc1)CC(=O)Cl","482323"
"13","Brc1cc(ccc1)C(=O)Cl","259314"
"14","Brc1cc(ccc1)CC(=O)Cl","740586"
"15","Brc1ccc(cc1)C(=O)Cl","B59209"
"16","Brc1ccc(cc1)CC(=O)Cl","740438"
"17","ClC(=O)C(=C)CC","589144"
"18","ClC(=O)C(=C)C","156310"
"19","ClC(=O)C(=O)c1c2c([nH]c1)cccc2","515205"
"20","ClC(=O)C(=O)Cl","221015"
"21","ClC(=O)C(=O)OCC(=C)Cl","740144"
"22","ClC(=O)C(=O)OCC","E43101"
"23","ClC(=O)C(=O)OCC=C","738875"
"24","ClC(=O)C(=O)OC","151440"
"25","ClC(=O)/C(=C/C)/C","688606"
"26","ClC(=O)C(CC)(CC)C(=O)Cl","235512"
"27","ClC(=O)C(C)(C)C(=O)Cl","391905"
"28","ClC(=O)C(C)(C)C","T72605"
"29","ClC(=O)C(OC(=O)C)(C)C","326178"
"30","ClC(=O)C(CCCC)CC","157406"
"31","ClC(=O)C(CC)CC","157430"
"32","ClC(=O)C(CC)C","476471"
"33","ClC(=O)C(CC)c1ccccc1","349666"
"34","ClC(=O)C(C)C","139122"
"35","ClC(=O)C(C)c1ccccc1","689548"
"36","ClC(=O)C(c1ccccc1)c1ccccc1","331589"
"37","ClC(=O)C(OC(=O)C)c1ccccc1","A17404"
"38","ClC(=O)CC(=C)C(=O)Cl","I29301"
"39","ClC(=O)CC(=O)Cl","M1601"
"40","ClC(=O)CC(=O)OCC","163872"
"41","ClC(=O)CC(=O)OC","164011"
"42","ClC(=O)CC(C)(C)C","B88802"
"43","ClC(=O)CC(CC(C)(C)C)C","422959"
"44","ClC(=O)CC(CCC(=O)Cl)C","235520"
"45","ClC(=O)CC(CC)C","PH016167"
"46","ClC(=O)CC(C)C","157422"
"47","ClC(=O)CCC(=O)Cl","S6452"
"48","ClC(=O)CCC(=O)OCC","190705"
"49","ClC(=O)CCC(=O)OC","C11049"
"50","ClC(=O)CCCC(=O)Cl","G4608"
"51","ClC(=O)CCCC(=O)OCC","49733"
"52","ClC(=O)CCCC(=O)OC","M35355"
"53","ClC(=O)CCCCC(=O)Cl","165212"
"54","ClC(=O)CCCCC(=O)OC","638560"
"55","ClC(=O)CCCCCC(=O)Cl","251313"
"56","ClC(=O)CCCCCCC(=O)Cl","235547"
"57","ClC(=O)CCCCCCC(=O)OC","385565"
"58","ClC(=O)CCCCCCCC(=O)Cl","299693"
"59","ClC(=O)CCCCCCCCC(=O)Cl","131784"
"60","ClC(=O)CCCCCCCCC(=O)OC","401730"
"61","ClC(=O)CCCCCCCCCCC(=O)Cl","306665"
"62","ClC(=O)CCCCCCCCCCCCCCCCCCCCC","11935"
"63","ClC(=O)CCCCCCCCCCCCCCCCCC","74200"
"64","ClC(=O)CCCCCCCCCCCCCCCCC","171158"
"65","ClC(=O)CCCCCCCCCCCCCCCC","306657"
"66","ClC(=O)CCCCCCCCCCCCCCC","P78"
"67","ClC(=O)CCCCCCCCCCCCCC","76555"
"68","ClC(=O)CCCCCCCCCCCCC","185205"
"69","ClC(=O)CCCCCCCCCCCC","91550"
"70","ClC(=O)CCCCCCCCCCC","156930"
"71","ClC(=O)CCCCCCCCCC","249432"
"72","ClC(=O)CCCCCCCCC/C=C\CCCCCC","V9876"
"73","ClC(=O)CCCCCCCCC","140295"
"74","ClC(=O)CCCCCCCCC=C","161667"
"75","ClC(=O)CCCCCCCC","156833"
"76","ClC(=O)CCCCCCC/C=C\CCCCCCCC","367850"
"77","ClC(=O)CCCCCCC/C=C\CCCCCC","P2635"
"78","ClC(=O)CCCCCCC/C=C\C/C=C\CCCCC","L5753"
"79","ClC(=O)CCCCCCC","O4733"
"80","ClC(=O)CCCCCC","147249"
