Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P44514	DAPE_HAEIN	reviewed	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	dapE HI_0102	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	377
P44046	LPXH_HAEIN	reviewed	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase) (UDP-diacylglucosamine pyrophosphohydrolase)	lpxH HI_0735	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	237
P44801	DHAS_HAEIN	reviewed	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	asd HI_0646	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	371
P45131	METXA_HAEIN	reviewed	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine O-trans-acetylase) (Homoserine transacetylase) (HTA)	metXA met2 HI_1263	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	358
Q06282	GLPQ_HAEIN	reviewed	Glycerophosphodiester phosphodiesterase (Glycerophosphoryl diester phosphodiesterase) (EC 3.1.4.46) (Immunoglobulin D-binding protein) (IgD-binding protein) (Surface-exposed lipoprotein D) (Protein D)	glpQ hpd HI_0689	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	364
P43889	GLMU_HAEIN	reviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU HI_0642	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	456
P44308	NADR_HAEIN	reviewed	Bifunctional NAD biosynthesis protein NadR [Includes: Nicotinamide mononucleotide adenylyltransferase (NMN adenylyltransferase) (NMN-AT) (NMNAT) (EC 2.7.7.1) (Nicotinamide ribonucleotide adenylyltransferase) (Nicotinamide-nucleotide adenylyltransferase); Ribosylnicotinamide kinase (RNK) (EC 2.7.1.22) (Nicotinamide riboside kinase) (NRK) (NmR-K)]	nadR HI_0763	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	421
P44859	DAPF_HAEIN	reviewed	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	dapF HI_0750	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	274
P43803	SECA_HAEIN	reviewed	Protein translocase subunit SecA (EC 7.4.2.8)	secA HI_0909	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	901
P43779	TFOX_HAEIN	reviewed	DNA transformation protein TfoX (Competence activator Sxy) (Protein Sxy)	tfoX sxy HI_0601	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	217
P43859	XGPT_HAEIN	reviewed	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	gpt1 gptA HI_0674; gpt2 gptB HI_0692	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	155
P44758	PRX5_HAEIN	reviewed	Hybrid peroxiredoxin hyPrx5 (EC 1.11.1.27) (Glutathione-dependent peroxidase) (Glutathione-dependent peroxiredoxin) (Peroxiredoxin-glutaredoxin fusion protein) (PGdx) (Prx-Grx)	PGdx HI_0572	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	241
P45202	YBAK_HAEIN	reviewed	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	ybaK HI_1434	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	158
P44570	PGPB_HAEIN	reviewed	Phosphatidylglycerophosphatase B (EC 3.1.3.27) (Diacylglycerol pyrophosphate phosphatase) (DGPP phosphatase) (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4) (Undecaprenyl pyrophosphate phosphatase) (EC 3.6.1.27) (Undecaprenyl-diphosphatase)	pgpB HI_0211	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	241
